Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
1986,83.26009275450467,96,4,91.26,2,5.52,45.695,6.6,1
2011,83.06690327384811,129,4,186.85,6,3.4,91.25399999999999,7.4,1
2006,83.0639494026704,144,4,167.45,6,8.54,75.84222222222222,8.0,1
2021,82.86533828960611,132,4,224.54,6,3.7,80.94,7.4,1
1998,82.83625581514237,115,1,135.03,1,2.7,127.26000000000002,6.8,1
2019,82.76309866491258,169,16,211.59,5,7.7,211.59,6.5,0
2009,82.61512000261028,105,8,177.24,3,2.1,104.32916666666667,6.0,0
2012,82.50218592464157,101,1,189.42,0,2.2,189.42,7.7,1
1994,82.43548659133073,141,4,122.19,6,10.4,61.357777777777784,6.9,1
2015,82.28945603058008,131,4,195.04,6,8.54,125.3325,7.4,1
1999,82.12516884286357,189,4,136.8,10,5.8,64.31666666666668,8.6,1
1996,82.1230474976092,95,16,128.81,2,2.5,127.26000000000002,5.7,0
2001,81.94653614457833,108,17,145.1,2,2.9,145.1,6.4,0
1994,81.80131556754932,116,16,121.25,6,8.54,113.72999999999999,7.3,1
1982,81.7720207253886,113,1,78.91,6,3.8,76.9,7.7,1
2003,81.74133635334087,109,4,150.37,6,7.5,79.0425,6.3,0
1982,81.73056994818654,96,16,78.87,6,10.3,36.931250000000006,6.9,1
2001,81.62462349397592,106,16,144.53,6,10.8,66.72571428571429,6.8,1
1970,81.28783000643915,139,16,31.56,3,2.7,31.56,7.6,1
1976,81.18318933958119,96,0,46.2,6,10.8,76.1,6.7,1
2007,81.15560853644273,100,9,168.27,6,2.2,79.59,5.8,0
2006,81.1392666694225,117,1,163.57,1,5.0,82.20666666666666,8.0,1
2010,80.9839696774445,140,1,176.59,6,5.1,59.581999999999994,6.2,0
1963,80.9795918367347,115,16,24.8,6,8.54,34.82333333333333,7.4,1
